#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description,
848,CVE-2017-16537,476,,DoS,2017-11-04,2018-08-24,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The imon_probe function in drivers/media/rc/imon.c in the Linux kernel through 4.13.11 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact via a crafted USB device.,
849,CVE-2017-16536,476,,DoS,2017-11-04,2018-08-24,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The cx231xx_usb_probe function in drivers/media/usb/cx231xx/cx231xx-cards.c in the Linux kernel through 4.13.11 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact via a crafted USB device.,
850,CVE-2017-16532,476,,DoS,2017-11-04,2018-08-24,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The get_endpoints function in drivers/usb/misc/usbtest.c in the Linux kernel through 4.13.11 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact via a crafted USB device.,
744,CVE-2018-6249,476,,DoS,2018-04-02,2018-05-31,7.2,None,Local,Low,Not required,Complete,Complete,Complete,NVIDIA GPU Display Driver contains a vulnerability in kernel mode layer handler where a NULL pointer dereference may lead to denial of service or potential escalation of privileges.,
743,CVE-2018-6250,476,,DoS,2018-04-02,2018-05-11,7.2,None,Local,Low,Not required,Complete,Complete,Complete,NVIDIA Windows GPU Display Driver contains a vulnerability in the kernel mode layer (nvlddmkm.sys) handler for DxgkDdiEscape where a NULL pointer dereference occurs which may lead to denial of service or possible escalation of privileges.,
745,CVE-2018-6247,476,,DoS,2018-04-02,2018-05-11,7.2,None,Local,Low,Not required,Complete,Complete,Complete,NVIDIA Windows GPU Display Driver contains a vulnerability in the kernel mode layer (nvlddmkm.sys) handler for DxgkDdiEscape where a NULL pointer dereference may lead to denial of service or possible escalation of privileges.,
846,CVE-2017-16646,476,,DoS,2017-11-07,2018-04-07,7.2,None,Local,Low,Not required,Complete,Complete,Complete,drivers/media/usb/dvb-usb/dib0700_devices.c in the Linux kernel through 4.13.11 allows local users to cause a denial of service (BUG and system crash) or possibly have unspecified other impact via a crafted USB device.,
845,CVE-2017-16647,476,,DoS,2017-11-07,2018-04-06,7.2,None,Local,Low,Not required,Complete,Complete,Complete,drivers/net/usb/asix_devices.c in the Linux kernel through 4.13.11 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact via a crafted USB device.,
1051,CVE-2017-5727,476,,,2018-02-02,2018-02-16,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Pointer dereference in subsystem in Intel Graphics Driver 15.40.x.x,
1014,CVE-2017-7374,476,,DoS +Priv,2017-03-31,2017-10-04,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Use-after-free vulnerability in fs/crypto/ in the Linux kernel before 4.10.7 allows local users to cause a denial of service (NULL pointer dereference) or possibly gain privileges by revoking keyring keys being used for ext4,
918,CVE-2017-13686,476,,DoS,2017-08-24,2017-08-30,7.2,None,Local,Low,Not required,Complete,Complete,Complete,net/ipv4/route.c in the Linux kernel 4.13-rc1 through 4.13-rc6 is too late to check for a NULL fi field when RTM_F_FIB_MATCH is set,
1037,CVE-2017-6252,476,,DoS,2017-07-28,2017-08-15,7.2,None,Local,Low,Not required,Complete,Complete,Complete,NVIDIA Windows GPU Display Driver contains a vulnerability in the kernel mode layer handler where a NULL pointer dereference may lead to a denial of service or potential escalation of privileges.,
1036,CVE-2017-6257,476,,DoS,2017-07-28,2017-08-08,7.2,None,Local,Low,Not required,Complete,Complete,Complete,NVIDIA GPU Display Driver contains a vulnerability in the kernel mode layer handler where a NULL pointer dereference may lead to denial of service or potential escalation of privileges,
1076,CVE-2017-0351,476,,DoS,2017-05-09,2017-06-05,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of the NVIDIA GPU Display Driver contain a vulnerability in the kernel mode layer handler where a NULL pointer dereference caused by invalid user input may lead to denial of service or potential escalation of privileges.,
1077,CVE-2017-0349,476,,DoS,2017-05-09,2017-05-25,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of the NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer (nvlddmkm.sys) handler for DxgkDdiEscape where a pointer passed from a user to the driver is not correctly validated before it is dereferenced for a write operation,
1078,CVE-2017-0348,476,,DoS,2017-05-09,2017-05-17,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of the NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer (nvlddmkm.sys) handler where a NULL pointer dereference may lead to denial of service or potential escalation of privileges.,
1079,CVE-2017-0341,476,,DoS,2017-05-09,2017-05-17,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of the NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer (nvlddmkm.sys) handler for DxgDdiEscape where user provided input can trigger an access to a pointer that has not been initialized which may lead to denial of service or potential escalation of privileges.,
1080,CVE-2017-0323,476,,DoS,2017-02-15,2017-02-23,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer handler where a NULL pointer dereference caused by invalid user input may lead to denial of service or potential escalation of privileges.,
1081,CVE-2017-0321,476,,DoS,2017-02-15,2017-02-23,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of NVIDIA GPU Display Driver contain a vulnerability in the kernel mode layer handler where a NULL pointer dereference caused by invalid user input may lead to denial of service or potential escalation of privileges.,
1082,CVE-2017-0315,476,,DoS,2017-02-15,2017-02-23,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer (nvlddmkm.sys) handler for DxgkDdiEscape where an attempt to access an invalid object pointer may lead to denial of service or potential escalation of privileges.,
1141,CVE-2016-8814,476,,DoS,2016-12-16,2016-12-24,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer (nvlddmkm.sys) handler for DxgDdiEscape where multiple pointers are used without checking for NULL,
1142,CVE-2016-8813,476,,DoS,2016-12-16,2016-12-24,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer (nvlddmkm.sys) handler for DxgDdiEscape where multiple pointers are used without checking for NULL,
646,CVE-2018-14613,476,,,2018-07-27,2021-06-14,7.1,None,Remote,Medium,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 4.17.10. There is an invalid pointer dereference in io_ctl_map_page() when mounting and operating a crafted btrfs image,
774,CVE-2018-1094,476,,DoS,2018-04-02,2020-11-09,7.1,None,Remote,Medium,Not required,None,None,Complete,The ext4_fill_super function in fs/ext4/super.c in the Linux kernel through 4.15.15 does not always initialize the crc32c checksum driver,
242,CVE-2020-3407,476,,DoS,2020-09-24,2020-10-06,7.1,None,Remote,Medium,Not required,None,None,Complete,A vulnerability in the RESTCONF and NETCONF-YANG access control list (ACL) function of Cisco IOS XE Software could allow an unauthenticated,
1295,CVE-2014-5077,476,,DoS,2014-08-01,2020-08-13,7.1,None,Remote,Medium,Not required,None,None,Complete,The sctp_assoc_update function in net/sctp/associola.c in the Linux kernel through 3.15.8,
1344,CVE-2010-4342,476,,DoS,2010-12-30,2020-08-11,7.1,None,Remote,Medium,Not required,None,None,Complete,The aun_incoming function in net/econet/af_econet.c in the Linux kernel before 2.6.37-rc6,
647,CVE-2018-14612,476,,,2018-07-27,2020-06-10,7.1,None,Remote,Medium,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 4.17.10. There is an invalid pointer dereference in btrfs_root_node() when mounting a crafted btrfs image,
285,CVE-2019-19815,476,,,2019-12-17,2020-01-03,7.1,None,Remote,Medium,Not required,None,None,Complete,In the Linux kernel 5.0.21,
782,CVE-2018-0049,476,,DoS,2018-10-10,2019-10-09,7.1,None,Remote,Medium,Not required,None,None,Complete,A NULL Pointer Dereference vulnerability in Juniper Networks Junos OS allows an attacker to cause the Junos OS kernel to crash. Continued receipt of this specifically crafted malicious MPLS packet will cause a sustained Denial of Service condition. This issue require it to be received on an interface configured to receive this type of traffic. Affected releases are Juniper Networks Junos OS: 12.1X46 versions above and including 12.1X46-D76 prior to 12.1X46-D81 on SRX100,
1074,CVE-2017-0635,476,,DoS,2017-05-12,2019-10-03,7.1,None,Remote,Medium,Not required,None,None,Complete,A remote denial of service vulnerability in HevcUtils.cpp in libstagefright in Mediaserver could enable an attacker to use a specially crafted file to cause a device hang or reboot. This issue is rated as Low due to details specific to the vulnerability. Product: Android. Versions: 7.0,
643,CVE-2018-14617,476,,,2018-07-27,2019-08-13,7.1,None,Remote,Medium,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 4.17.10. There is a NULL pointer dereference and panic in hfsplus_lookup() in fs/hfsplus/dir.c when opening a file (that is purportedly a hard link) in an hfs+ filesystem that has malformed catalog data,
648,CVE-2018-14609,476,,,2018-07-27,2019-08-13,7.1,None,Remote,Medium,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 4.17.10. There is an invalid pointer dereference in __del_reloc_root() in fs/btrfs/relocation.c when mounting a crafted btrfs image,
776,CVE-2018-1066,476,,,2018-03-02,2019-04-23,7.1,None,Remote,Medium,Not required,None,None,Complete,The Linux kernel before version 4.11 is vulnerable to a NULL pointer dereference in fs/cifs/cifsencrypt.c:setup_ntlmv2_rsp() that allows an attacker controlling a CIFS server to kernel panic a client that has this server mounted,
644,CVE-2018-14616,476,,,2018-07-27,2019-04-03,7.1,None,Remote,Medium,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 4.17.10. There is a NULL pointer dereference in fscrypt_do_page_crypto() in fs/crypto/crypto.c when operating on a file in a corrupted f2fs image.,
645,CVE-2018-14614,476,,,2018-07-27,2019-04-03,7.1,None,Remote,Medium,Not required,None,None,Complete,An issue was discovered in the Linux kernel through 4.17.10. There is an out-of-bounds access in __remove_dirty_segment() in fs/f2fs/segment.c when mounting an f2fs image.,
1128,CVE-2016-9311,476,,DoS,2017-01-13,2019-01-24,7.1,None,Remote,Medium,Not required,None,None,Complete,ntpd in NTP before 4.2.8p9,
1363,CVE-2010-0006,476,,DoS,2010-01-26,2018-11-13,7.1,None,Remote,Medium,Not required,None,None,Complete,The ipv6_hop_jumbo function in net/ipv6/exthdrs.c in the Linux kernel before 2.6.32.4,
773,CVE-2018-1095,476,,DoS,2018-04-02,2018-10-31,7.1,None,Remote,Medium,Not required,None,None,Complete,The ext4_xattr_check_entries function in fs/ext4/xattr.c in the Linux kernel through 4.15.15 does not properly validate xattr sizes,
775,CVE-2018-1092,476,,DoS,2018-04-02,2018-10-31,7.1,None,Remote,Medium,Not required,None,None,Complete,The ext4_iget function in fs/ext4/inode.c in the Linux kernel through 4.15.15 mishandles the case of a root directory with a zero i_links_count,
840,CVE-2017-16914,476,,DoS,2018-01-31,2018-08-24,7.1,None,Remote,Medium,Not required,None,None,Complete,"The ""stub_send_ret_submit()"" function (drivers/usb/usbip/stub_tx.c) in the Linux Kernel before version 4.14.8",
1204,CVE-2016-4605,476,,DoS,2016-07-22,2017-09-01,7.1,None,Remote,Medium,Not required,None,None,Complete,Calendar in Apple iOS before 9.3.3 allows remote attackers to cause a denial of service (NULL pointer dereference and device restart) via a crafted invitation.,
1083,CVE-2017-0016,476,,DoS Exec Code,2017-03-17,2017-07-25,7.1,None,Remote,Medium,Not required,None,None,Complete,Microsoft Windows 10 Gold,
1282,CVE-2015-0003,476,,DoS +Priv,2015-02-11,2019-05-14,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,win32k.sys in the kernel-mode drivers in Microsoft Windows Server 2003 SP2,
871,CVE-2017-15102,476,,#NAME?,2017-11-15,2019-05-08,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,The tower_probe function in drivers/usb/misc/legousbtower.c in the Linux kernel before 4.8.1 allows local users (who are physically proximate for inserting a crafted USB device) to gain privileges by leveraging a write-what-where condition that occurs after a race condition and a NULL pointer dereference.,
10,CVE-2021-30500,476,,DoS Exec Code,2021-05-27,2021-06-08,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Null pointer dereference was found in upx PackLinuxElf::canUnpack() in p_lx_elf.cpp,
105,CVE-2020-26991,476,,Exec Code,2021-01-12,2021-05-19,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A vulnerability has been identified in JT2Go (All versions < V13.1.0.2),
79,CVE-2020-35982,476,,,2021-04-21,2021-04-23,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in GPAC version 0.8.0 and 1.0.1. There is an invalid pointer dereference in the function gf_hinter_track_finalize() in media_tools/isom_hinter.c.,
80,CVE-2020-35981,476,,,2021-04-21,2021-04-23,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in GPAC version 0.8.0 and 1.0.1. There is an invalid pointer dereference in the function SetupWriters() in isomedia/isom_store.c.,
45,CVE-2021-26235,476,,DoS Exec Code,2021-03-18,2021-03-22,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,FastStone Image Viewer <= 7.5 is affected by a user mode write access violation near NULL at 0x005bdfc9,
102,CVE-2020-27289,476,,Exec Code,2021-01-11,2021-03-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Delta Electronics CNCSoft-B Versions 1.0.0.2 and prior has a null pointer dereference issue while processing project files,
52,CVE-2021-25176,476,,DoS,2021-01-18,2021-03-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in Open Design Alliance Drawings SDK before 2021.11. A NULL pointer dereference exists when rendering malformed .DXF and .DWG files. This can allow attackers to cause a crash,
1358,CVE-2010-1321,476,,DoS,2010-05-19,2021-02-02,6.8,None,Remote,Low,???,None,None,Complete,The kg_accept_krb5 function in krb5/accept_sec_context.c in the GSS-API library in MIT Kerberos 5 (aka krb5) through 1.7.1 and 1.8 before 1.8.2,
420,CVE-2019-11338,476,,DoS,2019-04-19,2021-01-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,libavcodec/hevcdec.c in FFmpeg 3.4 and 4.1.2 mishandles detection of duplicate first slices,
342,CVE-2019-15258,476,,DoS,2019-10-16,2020-10-09,6.8,None,Remote,Low,???,None,None,Complete,A vulnerability in the web-based management interface of Cisco SPA100 Series Analog Telephone Adapters (ATAs) could allow an authenticated,
549,CVE-2018-19870,476,,,2018-12-26,2020-09-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in Qt before 5.11.3. A malformed GIF image causes a NULL pointer dereference in QGifHandler resulting in a segmentation fault.,
447,CVE-2019-9656,476,,,2019-03-11,2020-09-22,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in LibOFX 0.9.14. There is a NULL pointer dereference in the function OFXApplication::startElement in the file lib/ofx_sgml.cpp,
254,CVE-2019-20917,476,,,2020-09-11,2020-09-20,6.8,None,Remote,Low,???,None,None,Complete,An issue was discovered in InspIRCd 2 before 2.0.28 and 3 before 3.3.0. The mysql module contains a NULL pointer dereference when built against mariadb-connector-c 3.0.5 or newer. When combined with the sqlauth or sqloper modules,
805,CVE-2017-18209,476,,,2018-03-01,2020-09-08,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In the GetOpenCLCachedFilesDirectory function in magick/opencl.c in ImageMagick 7.0.7,
877,CVE-2017-15017,476,,,2017-10-05,2020-09-08,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,ImageMagick 7.0.7-0 Q16 has a NULL pointer dereference vulnerability in ReadOneMNGImage in coders/png.c.,
879,CVE-2017-15015,476,,,2017-10-05,2020-09-08,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,ImageMagick 7.0.7-0 Q16 has a NULL pointer dereference vulnerability in PDFDelegateMessage in coders/pdf.c.,
678,CVE-2018-11695,476,,DoS,2018-06-04,2020-07-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in LibSass <3.5.3. A NULL pointer dereference was found in the function Sass::Expand::operator which could be leveraged by an attacker to cause a denial of service (application crash) or possibly have unspecified other impact.,
422,CVE-2019-11023,476,,,2019-04-08,2020-06-30,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,The agroot() function in cgraph\obj.c in libcgraph.a in Graphviz 2.39.20160612.1140 has a NULL pointer dereference,
467,CVE-2019-8377,476,,DoS,2019-02-17,2020-06-25,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in Tcpreplay 4.3.1. A NULL pointer dereference occurred in the function get_ipv6_l4proto() located at get.c. This can be triggered by sending a crafted pcap file to the tcpreplay-edit binary. It allows an attacker to cause a Denial of Service (Segmentation fault) or possibly have unspecified other impact.,
243,CVE-2020-1995,476,,DoS,2020-05-13,2020-05-15,6.8,None,Remote,Low,???,None,None,Complete,A NULL pointer dereference vulnerability in Palo Alto Networks PAN-OS allows an authenticated administrator to send a request that causes the rasmgr daemon to crash. Repeated attempts to send this request result in denial of service to all PAN-OS services by restarting the device and putting it into maintenance mode. This issue affects: PAN-OS 9.1 versions earlier than 9.1.2.,
231,CVE-2020-5736,476,,,2020-04-08,2020-04-09,6.8,None,Remote,Low,???,None,None,Complete,Amcrest cameras and NVR are vulnerable to a null pointer dereference over port 37777. An authenticated remote attacker can abuse this issue to crash the device.,
248,CVE-2020-0021,476,,DoS,2020-02-13,2020-02-18,6.8,None,Remote,Low,???,None,None,Complete,In removeUnusedPackagesLPw of PackageManagerService.java,
473,CVE-2019-8174,476,,Exec Code,2019-10-17,2019-10-24,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Acrobat and Reader versions ,
1057,CVE-2017-5149,476,,,2017-02-13,2019-10-03,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in St. Jude Medical Merlin@home,
711,CVE-2018-7999,476,,DoS,2018-03-09,2019-09-06,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In libgraphite2 in graphite2 1.3.11,
667,CVE-2018-12799,476,,Exec Code,2018-08-29,2019-08-21,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Acrobat and Reader versions 2018.011.20055 and earlier,
757,CVE-2018-5030,476,,Exec Code,2018-07-20,2019-08-21,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Acrobat and Reader 2018.011.20040 and earlier,
758,CVE-2018-5012,476,,Exec Code,2018-07-20,2019-08-21,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Acrobat and Reader 2018.011.20040 and earlier,
1207,CVE-2016-3616,476,,DoS Exec Code,2017-02-13,2019-08-06,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,The cjpeg utility in libjpeg allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) or execute arbitrary code via a crafted file.,
854,CVE-2017-15930,476,,,2017-10-27,2019-06-30,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In ReadOneJNGImage in coders/png.c in GraphicsMagick 1.3.26,
1035,CVE-2017-6298,476,,,2017-02-24,2019-05-18,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""1 of 9. Null Pointer Deref / calloc return value not checked.""",
466,CVE-2019-8379,476,,DoS,2019-02-17,2019-05-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in AdvanceCOMP through 2.1. A NULL pointer dereference exists in the function be_uint32_read() located in endianrw.h. It can be triggered by sending a crafted file to a binary. It allows an attacker to cause a Denial of Service (Segmentation fault) or possibly have unspecified other impact when a victim opens a specially crafted file.,
878,CVE-2017-15016,476,,,2017-10-05,2019-04-16,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,ImageMagick 7.0.7-0 Q16 has a NULL pointer dereference vulnerability in ReadEnhMetaFile in coders/emf.c.,
456,CVE-2019-9199,476,,DoS,2019-02-26,2019-04-03,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,PoDoFo::Impose::PdfTranslator::setSource() in pdftranslator.cpp in PoDoFo 0.9.6 has a NULL pointer dereference that can (for example) be triggered by sending a crafted PDF file to the podofoimpose binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact.,
468,CVE-2019-8376,476,,DoS,2019-02-17,2019-03-30,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in Tcpreplay 4.3.1. A NULL pointer dereference occurred in the function get_layer4_v6() located at get.c. This can be triggered by sending a crafted pcap file to the tcpreplay-edit binary. It allows an attacker to cause a Denial of Service (Segmentation fault) or possibly have unspecified other impact.,
1222,CVE-2016-1803,476,,DoS Exec Code,2016-05-20,2019-03-25,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,CoreCapture in Apple iOS before 9.3.2,
861,CVE-2017-15565,476,,,2017-10-17,2019-03-14,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In Poppler 0.59.0,
677,CVE-2018-11696,476,,DoS,2018-06-04,2019-03-11,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in LibSass through 3.5.4. A NULL pointer dereference was found in the function Sass::Inspect::operator which could be leveraged by an attacker to cause a denial of service (application crash) or possibly have unspecified other impact.,
679,CVE-2018-11694,476,,DoS,2018-06-04,2019-03-11,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in LibSass through 3.5.4. A NULL pointer dereference was found in the function Sass::Functions::selector_append which could be leveraged by an attacker to cause a denial of service (application crash) or possibly have unspecified other impact.,
449,CVE-2019-9589,476,,DoS,2019-03-06,2019-03-06,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,There is a NULL pointer dereference vulnerability in PSOutputDev::setupResources() located in PSOutputDev.cc in Xpdf 4.01. It can be triggered by sending a crafted pdf file to (for example) the pdftops binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact.,
457,CVE-2019-9113,476,,,2019-02-25,2019-02-25,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Ming (aka libming) 0.4.8 has a NULL pointer dereference in the function getString() in the decompile.c file in libutil.a.,
464,CVE-2019-8382,476,,DoS,2019-02-17,2019-02-19,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in Bento4 1.5.1-628. A NULL pointer dereference occurs in the function AP4_List:Find located in Core/Ap4List.h when called from Core/Ap4Movie.cpp. It can be triggered by sending a crafted file to the mp4dump binary. It allows an attacker to cause a Denial of Service (Segmentation fault) or possibly have unspecified other impact.,
465,CVE-2019-8380,476,,DoS,2019-02-17,2019-02-19,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in Bento4 1.5.1-628. A NULL pointer dereference occurs in AP4_Track::GetSampleIndexForTimeStampMs() located in Core/Ap4Track.cpp. It can triggered by sending a crafted file to the mp4audioclip binary. It allows an attacker to cause a Denial of Service (Segmentation fault) or possibly have unspecified other impact.,
521,CVE-2018-20751,476,,,2019-02-04,2019-02-08,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in crop_page in PoDoFo 0.9.6. For a crafted PDF document,
478,CVE-2019-7233,476,,,2019-01-30,2019-02-01,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In libdoc through 2019-01-28,
528,CVE-2018-20429,476,,,2018-12-24,2019-01-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,libming 0.4.8 has a NULL pointer dereference in the getName function of the decompile.c file,
529,CVE-2018-20428,476,,,2018-12-24,2019-01-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,libming 0.4.8 has a NULL pointer dereference in the strlenext function of the decompile.c file,
530,CVE-2018-20427,476,,,2018-12-24,2019-01-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,libming 0.4.8 has a NULL pointer dereference in the getInt function of the decompile.c file,
531,CVE-2018-20426,476,,,2018-12-24,2019-01-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,libming 0.4.8 has a NULL pointer dereference in the newVar3 function of the decompile.c file,
532,CVE-2018-20425,476,,,2018-12-24,2019-01-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,libming 0.4.8 has a NULL pointer dereference in the pushdup function of the decompile.c file.,
558,CVE-2018-19532,476,,DoS,2018-11-26,2018-12-19,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A NULL pointer dereference vulnerability exists in the function PdfTranslator::setTarget() in pdftranslator.cpp of PoDoFo 0.9.6,
602,CVE-2018-17293,476,,DoS,2018-09-21,2018-11-21,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in WAVM before 2018-09-16. The run function in Programs/wavm/wavm.cpp does not check whether there is Emscripten memory to store the command-line arguments passed by the input WebAssembly file's main function,
607,CVE-2018-17094,476,,,2018-09-16,2018-11-01,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue has been discovered in mackyle xar 1.6.1. There is a NULL pointer dereference in xar_unserialize in lib/archive.c.,
608,CVE-2018-17093,476,,,2018-09-16,2018-11-01,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue has been discovered in mackyle xar 1.6.1. There is a NULL pointer dereference in xar_get_path in lib/util.c.,
806,CVE-2017-18205,476,,,2018-02-27,2018-10-31,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In builtin.c in zsh before 5.4,
847,CVE-2017-16545,476,,DoS,2017-11-05,2018-10-18,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,The ReadWPGImage function in coders/wpg.c in GraphicsMagick 1.3.26 does not properly validate colormapped images,
951,CVE-2017-11642,476,,,2017-07-26,2018-10-18,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,GraphicsMagick 1.3.26 has a NULL pointer dereference in the WriteMAPImage() function in coders/map.c when processing a non-colormapped image,
766,CVE-2018-3563,476,,Exec Code,2018-04-03,2018-04-25,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In Qualcomm Android for MSM,
755,CVE-2018-5308,476,,,2018-01-09,2018-01-29,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,PoDoFo 0.9.5 does not properly validate memcpy arguments in the PdfMemoryOutputStream::Write function (base/PdfOutputStream.cpp). Remote attackers could leverage this vulnerability to cause a denial-of-service or possibly unspecified other impact via a crafted pdf file.,
833,CVE-2017-17129,476,,DoS,2017-12-04,2017-12-15,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,The ff_vc1_mc_4mv_chroma4 function in libavcodec/vc1_mc.c in Libav 12.2 allows remote attackers to cause a denial of service (segmentation fault and application crash) or possibly have unspecified other impact via a crafted file.,
921,CVE-2017-13135,476,,,2017-11-16,2017-12-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A NULL Pointer Dereference exists in VideoLAN x265,
909,CVE-2017-14225,476,,,2017-09-09,2017-11-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,The av_color_primaries_name function in libavutil/pixdesc.c in FFmpeg 3.3.3 may return a NULL pointer depending on a value contained in a file,
873,CVE-2017-15056,476,,DoS,2017-10-06,2017-11-01,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,p_lx_elf.cpp in UPX 3.94 mishandles ELF headers,
876,CVE-2017-15019,476,,,2017-10-05,2017-10-12,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,LAME 3.99.5 has a NULL Pointer Dereference in the hip_decode_init function within libmp3lame/mpglib_interface.c via a malformed mpg file,
910,CVE-2017-14181,476,,DoS,2017-09-07,2017-09-14,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,DeleteBitBuffer in libbitbuf/bitbuffer.c in mp4tools aacplusenc 0.17.5 allows remote attackers to cause a denial of service (invalid memory write,
